mean_texture,mean_compactness,label
19.59,0.08,0
17.88,0.16,1
17.60,0.17,1
10.91,0.05,0
13.16,0.09,0
18.32,0.04,0
18.22,0.17,0
16.99,0.08,0
17.62,0.10,0
16.93,0.15,1
17.89,0.13,1
21.54,0.11,0
21.41,0.07,0
16.02,0.08,0
10.94,0.10,0
16.62,0.05,0
15.11,0.05,0
20.82,0.13,1
15.05,0.12,1
15.98,0.06,0
24.48,0.07,1
15.70,0.07,0
25.12,0.16,1
15.49,0.08,0
19.83,0.13,1
23.09,0.07,0
15.56,0.18,1
17.91,0.06,0
15.70,0.10,0
16.67,0.16,1
18.83,0.22,1
22.91,0.18,1
13.39,0.11,0
10.82,0.07,0
28.14,0.06,0
21.84,0.08,0
25.11,0.19,1
23.95,0.19,1
15.51,0.11,0
13.47,0.08,0
28.25,0.10,1
18.57,0.13,1
17.30,0.08,0
21.08,0.16,1
13.93,0.09,0
16.17,0.09,0
20.76,0.10,0
24.89,0.09,0
19.34,0.05,0
25.42,0.11,1
27.88,0.05,0
15.21,0.07,0
19.08,0.16,1
28.21,0.05,0
23.50,0.16,1
17.57,0.05,0
20.19,0.13,0
16.34,0.06,0
14.40,0.03,0
14.93,0.09,0
31.12,0.11,1
22.22,0.02,0
22.49,0.14,1
18.18,0.14,1
18.95,0.11,0
13.37,0.08,0
13.98,0.18,0
27.85,0.10,0
21.78,0.11,1
21.43,0.14,1
18.24,0.05,0
18.91,0.08,1
21.82,0.19,1
18.19,0.13,0
15.79,0.13,1
21.37,0.08,0
19.31,0.04,0
11.89,0.16,1
24.69,0.08,1
28.92,0.06,0
20.22,0.12,1
15.62,0.11,0
19.77,0.11,1
19.60,0.06,0
21.84,0.09,1
18.49,0.06,0
22.47,0.06,1
19.94,0.05,0
14.92,0.08,0
17.19,0.06,0
12.39,0.07,0
28.03,0.13,1
18.45,0.06,0
16.35,0.05,0
20.98,0.09,0
18.77,0.12,0
21.54,0.13,1
18.29,0.08,0
21.81,0.10,1
16.03,0.06,0
